user_id,username,password_hash,nickname,role,status,created_at,last_login_at
1,admin,240be518fabd2724ddb6f04eeb1da596,管理员,admin,1,2025-02-18 00:00:00,2026-03-14 00:00:00
2,user01,bd94dcda26fccb4e68d6a31f9b5aac0b,车友小王,user,1,2025-05-25 00:00:00,2025-08-20 00:00:00
3,user02,bd94dcda26fccb4e68d6a31f9b5aac0b,爱车一族,user,1,2025-03-18 00:00:00,2026-05-04 00:00:00
4,user03,bd94dcda26fccb4e68d6a31f9b5aac0b,新能源粉,user,1,2025-01-24 00:00:00,2025-04-20 00:00:00
5,user04,bd94dcda26fccb4e68d6a31f9b5aac0b,老司机,user,1,2025-02-10 00:00:00,2026-06-30 18:00:00
6,user05,bd94dcda26fccb4e68d6a31f9b5aac0b,小白买车,user,1,2025-05-08 00:00:00,2026-02-08 00:00:00
7,test01,937e8d5fbb48bd4949536cd65b8d35c4,测试账号1,user,1,2025-02-12 00:00:00,2026-04-21 00:00:00
8,test02,937e8d5fbb48bd4949536cd65b8d35c4,测试账号2,user,1,2025-05-24 00:00:00,2026-06-30 18:00:00
9,test03,937e8d5fbb48bd4949536cd65b8d35c4,测试账号3,user,1,2025-02-08 00:00:00,2026-05-28 00:00:00
10,reviewer,bd94dcda26fccb4e68d6a31f9b5aac0b,资深评论员,user,1,2025-04-11 00:00:00,2026-06-30 18:00:00
